date_mutation;valeur_fonciere;code_postal;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain;latitude;longitude
31/01/2019;1070000;75008;3;Dependance;;0;;48.882577;2.324618
31/01/2019;1070000;75008;2;Appartement;100;3;;48.882577;2.324618
24/01/2019;120000;75008;2;Appartement;13;1;;48.881334;2.325764
30/01/2019;606000;75003;2;Appartement;56;3;;48.868367;2.354762
21/01/2019;3110000;75008;2;Appartement;45;2;;48.880934;2.318528
21/01/2019;3110000;75008;2;Appartement;190;5;;48.880934;2.318528
14/02/2019;729450;75008;2;Appartement;57;3;;48.873634;2.31296
04/02/2019;480000;75003;2;Appartement;34;2;;48.86769;2.358185
04/02/2019;445000;75003;2;Appartement;33;2;;48.856285;2.367066
01/02/2019;415000;75003;2;Appartement;37;2;;48.857183;2.364992
11/02/2019;634100;75003;2;Appartement;47;3;;48.860881;2.361892
16/01/2019;1090000;75003;4;Local_indu_com_ou_assimile;140;0;;48.867994;2.359613
15/02/2019;180000;75008;3;Dependance;;0;;48.872022;2.31223
12/02/2019;1508000;75001;4;Local_indu_com_ou_assimile;150;0;;48.867273;2.324386
01/02/2019;280225;75008;2;Appartement;35;2;;48.882577;2.324618
14/02/2019;245280;75003;2;Appartement;25;2;;48.864487;2.356259
05/02/2019;1152000;75001;2;Appartement;80;4;;48.865982;2.335565
31/01/2019;1965000;75008;4;Local_indu_com_ou_assimile;150;0;;48.871404;2.308571
18/01/2019;840000;75003;2;Appartement;70;2;;48.863299;2.365982
14/02/2019;1569200;75008;2;Appartement;107;3;;48.878624;2.302556
31/01/2019;1141350;75001;2;Appartement;90;3;;48.856946;2.341844
21/01/2019;580000;75008;4;Local_indu_com_ou_assimile;48;0;;48.869528;2.322001
01/02/2019;175000;75001;2;Appartement;12;1;;48.863651;2.349338
