valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales,month,year
420000,92250,0,50,2,5,2020
610000,75008,0,1272,2,1,2019
610000,75008,0,1272,2,5,2020
895000,75018,0,100,3,1,2019
895000,75018,0,100,3,5,2020
14500,75008,2,1272,7,1,2019
14500,75008,2,1272,7,5,2020
145000,77670,0,100,5,1,2019
145000,77670,0,100,5,5,2020
206500,77690,1,90,4,1,2019
206500,77690,1,90,4,5,2020
155000,77380,0,57,3,1,2019
155000,77380,0,57,3,5,2020
4525500,75003,2,1272,7,1,2019
4525500,75003,2,1272,7,5,2020
410000,78600,0,113,6,1,2019
410000,78600,0,113,6,5,2020
4525500,75003,0,1272,2,1,2019
4525500,75003,0,1272,2,5,2020
155000,77170,0,55,3,1,2019
155000,77170,0,55,3,5,2020
299000,77370,1,104,6,1,2019
299000,77370,1,104,6,5,2020
290000,77130,1,120,9,1,2019
290000,77130,1,120,9,5,2020
4525500,75003,0,1272,5,1,2019
2643500,75008,2,1272,7,1,2019
2643500,75008,2,1272,7,5,2020
322000,78120,1,110,5,1,2019
322000,78120,1,110,5,5,2020
